CustomerID,CustomerName,Gender,City,Country,JoinDate,Segment
C0001,Customer_1,Male,Riyadh,Saudi Arabia,1/31/2022,Retail
C0002,Customer_2,Male,Jeddah,Saudi Arabia,2/24/2020,SMB
C0003,Customer_3,Male,Medina,Saudi Arabia,9/25/2023,Retail
C0004,Customer_4,Male,Riyadh,Saudi Arabia,6/14/2021,Retail
C0005,Customer_5,Male,Medina,Saudi Arabia,3/25/2021,SMB
C0006,Customer_6,Female,Jeddah,Saudi Arabia,1/14/2024,SMB
C0007,Customer_7,Female,Riyadh,Saudi Arabia,10/15/2020,SMB
C0008,Customer_8,Female,Dammam,Saudi Arabia,2/12/2022,Retail
C0009,Customer_9,Male,Dammam,Saudi Arabia,2/23/2020,Retail
C0010,Customer_10,Female,Riyadh,Saudi Arabia,1/10/2023,Corporate
C0011,Customer_11,Female,Riyadh,Saudi Arabia,2/25/2024,SMB
C0012,Customer_12,Male,Khobar,Saudi Arabia,11/19/2019,SMB
C0013,Customer_13,Female,Medina,Saudi Arabia,1/21/2023,SMB
C0014,Customer_14,Male,Riyadh,Saudi Arabia,7/7/2019,SMB
C0015,Customer_15,Male,Dammam,Saudi Arabia,11/23/2019,Retail
C0016,Customer_16,Male,Khobar,Saudi Arabia,2/12/2022,Corporate
C0017,Customer_17,Female,Jeddah,Saudi Arabia,2/25/2023,Corporate
C0018,Customer_18,Male,Dammam,Saudi Arabia,10/20/2019,SMB
C0019,Customer_19,Male,Medina,Saudi Arabia,9/29/2021,Retail
C0020,Customer_20,Female,Khobar,Saudi Arabia,1/10/2022,SMB
C0021,Customer_21,Male,Dammam,Saudi Arabia,8/18/2019,Retail
C0022,Customer_22,Male,Dammam,Saudi Arabia,7/2/2023,Corporate
C0023,Customer_23,Male,Jeddah,Saudi Arabia,5/12/2025,SMB
C0024,Customer_24,Female,Jeddah,Saudi Arabia,8/6/2024,Corporate
C0025,Customer_25,Female,Jeddah,Saudi Arabia,12/20/2021,Retail
C0026,Customer_26,Male,Medina,Saudi Arabia,1/16/2025,Corporate
C0027,Customer_27,Female,Medina,Saudi Arabia,6/24/2023,Corporate
C0028,Customer_28,Male,Jeddah,Saudi Arabia,9/18/2024,Corporate
C0029,Customer_29,Male,Riyadh,Saudi Arabia,3/25/2020,Retail
C0030,Customer_30,Male,Khobar,Saudi Arabia,9/8/2025,Retail
C0031,Customer_31,Female,Khobar,Saudi Arabia,9/6/2025,Corporate
C0032,Customer_32,Female,Medina,Saudi Arabia,2/17/2019,SMB
C0033,Customer_33,Male,Medina,Saudi Arabia,12/28/2021,SMB
C0034,Customer_34,Female,Riyadh,Saudi Arabia,4/17/2022,Corporate
C0035,Customer_35,Male,Khobar,Saudi Arabia,1/14/2019,SMB
C0036,Customer_36,Female,Medina,Saudi Arabia,1/1/2021,SMB
C0037,Customer_37,Male,Dammam,Saudi Arabia,9/10/2024,SMB
C0038,Customer_38,Male,Jeddah,Saudi Arabia,3/12/2023,Retail
C0039,Customer_39,Male,Medina,Saudi Arabia,8/20/2022,Corporate
C0040,Customer_40,Male,Riyadh,Saudi Arabia,1/26/2023,Corporate
C0041,Customer_41,Male,Riyadh,Saudi Arabia,9/13/2021,SMB
C0042,Customer_42,Male,Riyadh,Saudi Arabia,6/13/2024,Retail
C0043,Customer_43,Male,Jeddah,Saudi Arabia,4/30/2024,SMB
C0044,Customer_44,Male,Dammam,Saudi Arabia,12/1/2024,SMB
C0045,Customer_45,Female,Jeddah,Saudi Arabia,1/17/2025,SMB
C0046,Customer_46,Male,Dammam,Saudi Arabia,6/23/2023,SMB
C0047,Customer_47,Female,Khobar,Saudi Arabia,10/20/2024,Corporate
C0048,Customer_48,Male,Jeddah,Saudi Arabia,7/9/2021,Retail
C0049,Customer_49,Female,Riyadh,Saudi Arabia,8/6/2025,SMB
C0050,Customer_50,Male,Medina,Saudi Arabia,6/21/2021,Retail
C0051,Customer_51,Male,Riyadh,Saudi Arabia,7/26/2021,Retail
