OrderID,OrderDate,CustomerID,ProductID,Quantity,SalesAmount,Branch
O000001,10/10/2024,C1404,P0246,3,12324,Medina
O000002,11/29/2025,C0390,P0208,2,286,Riyadh
O000003,11/14/2022,C0501,P0360,7,30849,Medina
O000004,11/21/2020,C1382,P0311,1,3705,Medina
O000005,2/12/2023,C1720,P0090,4,2580,Jeddah
O000006,9/28/2023,C1015,P0488,6,2682,Khobar
O000007,10/16/2022,C1872,P0192,3,2871,Jeddah
O000008,6/1/2024,C0602,P0149,2,4960,Dammam
O000009,6/1/2023,C0446,P0002,4,18756,Dammam
O000010,12/5/2025,C1738,P0479,1,3823,Khobar
O000011,11/26/2025,C0943,P0183,1,78,Dammam
O000012,1/22/2019,C0717,P0182,5,4535,Jeddah
O000013,2/20/2020,C0883,P0182,7,714,Khobar
O000014,10/7/2024,C1841,P0044,4,17456,Jeddah
O000015,1/29/2019,C0319,P0064,7,28154,Dammam
O000016,3/14/2023,C0613,P0241,4,13072,Dammam
O000017,1/6/2025,C1663,P0457,7,10654,Dammam
O000018,10/24/2020,C0287,P0225,2,7258,Dammam
O000019,3/23/2021,C0227,P0003,7,20804,Jeddah
O000020,6/5/2023,C0863,P0021,5,5625,Dammam
O000021,5/17/2024,C1966,P0083,1,1660,Dammam
O000022,3/3/2025,C1015,P0216,2,8072,Jeddah
O000023,8/17/2024,C1487,P0385,6,19830,Khobar
O000024,3/28/2019,C0259,P0057,3,2739,Jeddah
O000025,8/26/2021,C0107,P0257,6,846,Dammam
O000026,2/2/2019,C0890,P0500,7,34447,Khobar
O000027,12/5/2019,C1559,P0145,5,20050,Khobar
O000028,9/25/2024,C0383,P0317,4,5116,Jeddah
O000029,12/15/2021,C1436,P0393,5,4860,Jeddah
O000030,2/27/2020,C1436,P0102,7,27384,Medina
O000031,9/1/2020,C0470,P0097,3,14619,Riyadh
O000032,1/26/2022,C0394,P0206,3,1032,Jeddah
O000033,1/8/2020,C1771,P0010,7,11655,Riyadh
O000034,6/9/2022,C1434,P0209,7,30310,Jeddah
O000035,5/16/2024,C0126,P0173,4,14080,Medina
O000036,5/31/2022,C0226,P0330,7,3171,Dammam
O000037,9/9/2023,C0506,P0144,6,17430,Dammam
O000038,1/3/2019,C0107,P0094,1,364,Dammam
O000039,2/21/2022,C1861,P0147,4,15588,Medina
O000040,10/30/2021,C1943,P0221,2,3088,Khobar
O000041,4/1/2020,C0199,P0172,6,15138,Riyadh
O000042,1/20/2023,C1522,P0170,3,8949,Medina
O000043,5/10/2021,C1197,P0122,6,13740,Khobar
O000044,6/18/2020,C1290,P0455,2,1802,Medina
O000045,2/19/2021,C0396,P0022,2,9670,Khobar
O000046,12/10/2025,C0703,P0039,2,9014,Dammam
O000047,12/25/2024,C1477,P0390,8,13472,Jeddah
O000048,9/9/2023,C1128,P0066,1,1600,Dammam
